Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
Ca. 10 - 40 cm,,Pufferzone,Zwiebelgewächs,Leucojum aestivum,Südeuropa (eingebürgert vor 1500 n.Chr.),Amaryllisgewächse - Amaryllidaceae,"Sonne, Halbschatten",frisch - feucht,Bienen,Sommer-Knotenblume,,weiß,"humos, lehmig",giftig,April - Mai
Ca. 10 - 30 cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Märzenbecher-150x150.jpg'],Pufferzone,Zwiebelgewächs,Leucojum vernum,heimisch,Amaryllisgewächse - Amaryllidaceae,"Sonne, Halbschatten",frisch - feucht,"Hummeln, Bienen Frühblüher","Frühlings-Knotenblume, Märzenbecher","Nicht immer wartet er bis März, manchmal steckt der Märzenbecher auch schon im Februar seinen „Kopf“ aus der Erde. Diese heimische Pflanze steht auf der Roten Liste der gefährdeten Pflanzenarten und darf daher nicht am Naturstandort ausgegraben werden. Allerdings ist er leicht im Handel erhältlich und so kann jeder diesen wunderschönen Frühblüher in seinen Hortus holen. Die weißen Blüten des bis zu 30cm hoch werdenden Märzenbechers enthalten Pollen und Nektar. Daher sind sie eine gute Nahrungsquelle für frühfliegende Insekten. Der Standort sollte eher halbschattig sein, der Boden humos und gerne etwas lehmig. Mit der Zeit kann der Märzenbecher durch Brutzwiebeln verwildern und größere Flächen besiedeln.  Mit einem kleinen Trick kann man die Blüte scheinbar um ein bis zwei Monate verlängern, denn Leucojum aestivum - die Sommer-Knotenblume - sieht der Frühlings-Knotenblume zum verwechseln ähnlich. Der Unterschied besteht hauptsächlich darin, dass die Sommer-Knotenblume ab April blüht. Ungefähr zu diesem Zeitpunkt endet die Blütezeit des Märzenbechers.",weiß,"humos, lehmig",giftig,Februar - April
Ca. 15 - 30 cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Winterheide-©Gartenphilosophin-300x225.jpg'],Magerzone,mehrjährig,Erica carnea,heimisch,Ericaceae - Heidekrautgewächse,"Sonne, Halbschatten",trocken - frisch,"Hummeln, Bienen, Raupenfutterpflanze Frühblüher","Winterheide, Schneeheide",,pink,"mager, sauer",,Februar - Mai
Ca. 15 - 30 cm,,Pufferzone,mehrjährig,Corydalis cava,heimisch,Papaveraceae - Mohngewächse,"Halbschatten, Schatten",feucht,"Hummeln, Bienen Frühblüher",Hohler Lerchensporn,,lila,humos - nährstoffreich,Alle Pflanzenteile sind giftig!,März - Mai
Ca. 30 - 60 cm,,"Pufferzone, nährstoffreiche Wiesen",mehrjährig,Vicia sepium,heimisch,Fabaceae - Hülsenfrüchtler,Halbschatten,frisch,Hummeln,Zaunwicke,"Auch mit dem 3-Zonenprinzip mag es auf einem Grundstück das ein oder andere nährstoffreiche Plätzchen geben. Ist der Boden dort frisch - also nicht zu trocken, aber auch nicht zu feucht - und die Lage halbschattig, dann sind das gute Vorraussetzungen für die Ansiedlung der Zaunwicke. Die einheimische Pflanze wird bis zu ca. 50cm hoch und besitzt Wickelranken, mit denen sie sich an anderen Pflanzen festhalten und hochklettern kann. Durch zahlreiche Ausläufer vermehrt sich die Zaunwicke rasch. Je nach Klima und Standort erscheinen die violetten Blüten von Mai bis August und bieten Hummeln reichlich Nahrung. Manche Erdhummelarten beißen die Blüten seitlich auf, so dass auch andere Insekten von dem Nektarreichtum profitieren können.",rosa,humos - nährstoffreich,,Mai - August
Bis ca. 100 cm,,Magerzone,mehrjährig,Vicia cracca,heimisch,Fabaceae - Hülsenfrüchtler,"Sonne, Halbschatten",frisch - feucht,"Insekten, Vögel",Vogel-Wicke,"Die heimische Vogelwicke gehört in die Katgorie Kletterpflanzen, ihre Wickelranken klammern sich an alles, was sie berühren und die Pflanze kann dadurch eine Höhe von bis zu 120cm erreichen. Vie Vogel-Eicke bildet unterirdische Ausläufer und kann sich an geeigneten Standorten rasch vermehren. Wer die Vogelwicke in seinem Hortus ansiedeln möchte, sollte für sie einen nährstoffreichen, frischen bis feuchten Platz in sonniger bis halbschattiger Lage auswählen. Vielleicht ergibt sich ja die Möglichkeit, die Vogel-Wicke an einem keinen Holzmodul ranken zu lassen. Die nektarreiche Pflanze blüht von Juni bis August und wird insbesondere von Hummeln, Bienen und Schmetterlingen angeflogen.",lila,humos - nährstoffreich,,Juni - August
Ca. 10 - 40 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Wilde-Stiefmütterchen-150x150.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Wildes-Stiefmütterchen-150x150.jpg']",Magerzone,einjährig,Viola tricolor,heimisch,Violaceae - Veilchengewächse,Halbschatten,trocken,Insekten,Wildes Stiefmütterchen,,lila,mager,Heilpflanze,Mai - Oktober
Ca. 5 - 10 cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Viola-odorata-300x225.jpg'],Pufferzone,mehrjährig,Viola odorata,"Ursprünglich Südeuropa, Iran (in Europa eingebürgert im frühen Mittelalter)",Violaceae - Veilchengewächse,Halbschatten,feucht,Frühblüher,Duft-Veilchen,ausläuferbildend,lila,humos,Blüten essbar,März - April
,,,,,,,,,,,,,,,
Bis ca. 4m,,Pufferzone,Gehölz,Viburnum opulus,heimisch,Adoxaceae - Moschuskrautgewächse,Halbschatten,feucht - nass,"Schmetterlinge, Vögel, Vogelgehölz Mehr als 5 Raupenarten",Gemeiner Schneeball,"Der heimische Gemeine Schneeball kann bis zu 4m hoch und ca. 3m breit werden. Durch seinen dichten und breiten Wuchs ist er ein gutes Vogelschutzgehölz und eignet er sich hervorragend als Heckenpfanze. Der Boden sollte humos und feucht sein, im Halbschatten gedeiht er am besten, kann aber auch an sonnigen und schattigen Plätzen stehen.  Von Mai bis Juni zeigen sich seine weißen Blüten, die gut angeflogen werden und verschiedene Schmetterlingsraupen nutzen den Gemeinen Schneeball als Futterpflanze. Später entwickeln sich rote Beeren, die von Vögeln als Winterfutter angenommen werden.",weiß,humos,,Mai - Juni
Ca. 30 - 150 cm,['https://hortus-netzwerk.de/wp-content/uploads/2021/07/wegwarte-225x300.jpg'],"Magerzone, ""Fette"" Bereiche",mehrjährig,Cichorium intybus,heimisch,Asteraceae - Korbblütengewächse,Sonne,trocken,"Bienen, Schwebfliegen",Wegwarte,"Die heimische Wegwarte ist eine mehrjährige Pflanze, die latut Literatur eine Höhe von 40 - 150 cm erreichen kann. Je nach Bodenbeschaffenheit entwickelt sich die Wegwarte unterschiedlich, die letztes Jahr auf meiner Baumscheibe ausgesäte Wegwarte blüht gerade und hat durch den noch sehr nährstoffreichen Boden eine Höhe von stolzen 210 cm. An den Boden stellt die Wegwarte keine besonderen Ansprüche, vorzugsweise sollte er trocken bis frisch und mäßig nährstoffreich sein, sonnige Lagen werden bevorzugt. Die Wegwarte ist eine wichtige Nahrungsquelle für Insekten, an ihren blauen Blüten finden sich zwischen Juli und Oktober viele Bienen und Schwebfliegen. Doch auch Schmetterlinge und verschiedene kleine Käferarten nehmen die Wegwarte an.",blau,mager - nährstoffreich,Heilkraut,Juli - Oktober
Ca. 15 - 40 cm,,Sumpfzone,mehrjährig,Caltha palustris,heimisch,Ranunculaceae - Hahnenfußgewächse,"Sonne, Halbschatten",nass,"Bienen, frühfliegende Insekten",Sumpfdotterblume,"Die heimische Sumpfdotterblume ist für feuchte und sumpfige Areale geeignet und somit an Teichrändern gut aufgehoben. Der Boden sollte humos sein, die Lage sonnig bis halbschattig. Gefällt der Pflanze der Standort, wird sie bis zu ca. 40 cm groß. Die leuchtend gelben Blüten erscheinen zwischen April und Mai. Damit gehört die Sumpfdotterblume zu den Frühblühern und ist eine begehrte Nahrungsquelle für frühfliegende Insekten.",gelb,humos,Alle Pflanzenteile sind schwach giftig!,April - Juni
Ca. 60 - 150 cm,,Pufferzone,mehrjährig,"Senecio fuchsii, Senecio ovatus",heimisch,Asteraceae - Korbblütengewächse,Halbschatten,feucht - nass,Viele Schmetterlinge Mehr als 10 Raupenarten,Fuchs-Greiskraut,,gelb,humos,Alle Pflanzenteile sind giftig!,Juli - August
Ca. 5 - 30 cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Wundklee-300x225.jpg'],Magerzone,mehrjährig,Lotus corniculatus,heimisch,Fabaceae - Hülsenfrüchtler,"Sonne, Halbschatten",trocken - frisch - feucht,"Bienen, Schmetterlinge Mehr als 10 Raupenarten",Gewöhnlicher Hornklee,,gelb,"mager, kalkhaltig",,Mai - August
Bis ca. 10m,,Pufferzone,Gehölz,Salix viminalis,heimisch,Salicaceae - Weidengewächse,Sonne - Halbschatten,feucht,"Bienen, Hummeln Mehr als 20 Raupenarten Frühblüher",Korbweide,"Wer sehr schnell einen Sichtschutz benötigt, sollte über die heimische Korbweide nachdenken, denn sie kann unter guten Bedingunden mehr als 2m pro Jahr in die Höhe wachsen. Dieses starke Wachstum nutzen die Menschen schon seit Jahrhunderten, die schnell nachwachsenden Triebe werden seit jeher zum Flechten von Körben oder Zäunen verwendet. Der bis zu 6 Meter hohe Strauch kann auch als Baum gezogen werden und ist sehr schnittverträglich. Der Standort sollte sonnig bis halbschattig und gerne feucht sein. An den Boden stellt die Korbweide keine besonderen Ansprüche. Ihre Blüten erscheinen zwischen März und April und sind eine wertvolle Nahrungsquelle für frühfliegende Insekten.",gelb,"humos, kalkhaltig",,März bis April
Bis ca. 6m,,Pufferzone,Gehölz,Salix cinera,heimisch,Salicaceae - Weidengewächse,"Sonne, Halbschatten",frisch - feucht,"Bienen, Hummeln Frühblüher","Grauweide, Aschweide","Die heimische Grauweide wächst dicht verzweigt bis zu einer Höhe von ca. 5-6 Metern. Nach einem Schnitt treibt sie gut wieder aus und ihr Wachstum beträgt ca. 50cm pro Jahr. Am besten pflanzt man die Grauweide an einem sonnigen bis halbschattigen Ort, der Boden sollte frisch bis feucht sein. Ansonsten stellt diese Weide keine besonderen Ansprüche. Zwischen März und April zeigt die Grauweide ihre Blüten, die hervorragend von frühfliegenden Insekten angenommen werden.",blass gelbgrün,humos,,März bis April
Bis ca. 6m,,Pufferzone,Gehölz,Salix purpurea,heimisch,Salicaceae - Weidengewächse,"Sonne, Halbschatten",feucht - nass,"Bienen, Hummeln",Purpur-Weide,"In Zeiten des Klimawandels gewinnt die bei uns heimische Purpurweide an Bedeutung, denn sie ist extrem hitze- und trockenverträglich, obwohl ihr feuchte Standorte mehr zusagen. Der schnittverträgliche Strauch erreicht eine Höhe von bis zu ca. 5 Metern und bevorzugt sonnige bis halbschattige, kalkreiche Standorte. Doch auch mit mageren Böden kommt diese Weide zurecht. Die eher unscheinbaren Blüten zeigen sich zwischen März und April und wie alle Weiden ist sie eine wichtige Nektar- und Futterpflanze.",gelbgrün,"nährstoffreich, kalkhaltig",,März bis April
Ca. 8-10m,,Pufferzone,Gehölz,Salix caprea,heimisch,Salicaceae - Weidengewächse,"Sonne, Halbschatten",frisch - feucht,"Bienen, Hummeln, unzählige Schmetterlinge, bedeutende Raupenfutterpflanze Frühblüher",Salweide,"Die heimische Salweide wird ca. 5-6 Meter hoch und kann sowohl als hoher Strauch als auch als kleiner Baum gezogen werden. Sie ist sehr schnittverträglich und wächt pro Jahr bis zu 100cm in die Höhe. An den Standort stellt die Salweide fast keine Ansprüche, sie verträgt Trockenheit sowie Nässe und kommt auch mit eher mageren Böden zurecht. Lediglich Staunässe verträgt diese Weide nicht besonders gut. An einem sonnigen Standort gedeiht sie am besten und ihre Blüten erscheinen zwischen März und April. Der Frühblüher ist eine wichtige Nektar- und Futterpflanze für (frühfliegende) Insekten, Schmetterlinge und den Weidenblattkäfer.",gelbgrün,humos,,März bis April
Bis ca. 3-4m,,Pufferzone,Gehölz,Salix aurita,heimisch,Salicaceae - Weidengewächse,"Sonne, Halbschatten",feucht,"Bienen, Hummeln",Ohrweide,"Die heimische, breit und aufrecht wachsende Ohrweide kann eine Höhe von bis zu 3-4 Metern erreichen. Sie erreicht einen Zuwachs von ca. 20 - 40 cm pro Jahr. Der Flachwurzler kann Ausläufer bilden und trägt sowohl männliche als auch weibliche Kätzchen. Was die Bodenverhältnisse angeht, ist die Ohrweide recht anspruchslos. Ein Platz in sonniger bis halbschattiger Lage auf kalkarmem Boden, der gerne feucht sein darf, gefällt ihr gut.  Die Blüten erscheinen zwischen März und April und als Frühblüher ist sie eine begehrte Nektarpflanze für frühfliegende Insekten.",gelbgrün,humos,,April bis Mai
Bis ca. 25m,,Pufferzone,Gehölz,Salix alba,heimisch,Salicaceae - Weidengewächse,"Sonne, Halbschatten",feucht - nass,"Bienen, Hummeln",Silber-Weide,"Einer der größten Weidenarten ist mit einer maximalen Höhe von ca. 25m die heimische Silberweide. Mit einem Wachstum von bis zu 150cm im Jahr ist sie sehr starkwüchsig, aber zum Glück auch sehr schnittverträglich. Am besten gedeiht die Silberweide in nähstoffreichem, feuchtem Boden in sonniger bis halbschattiger Lage. Ein wenig Vorsicht beim Standort ist geboten, die Silberweide ist ein weitstreichender Flachwurzler, den man besser nicht in die Nähe eines Gartenhauses oder zu dicht an die Grundstücksgrenze pflanzt. Die Blüten zeigen sich zwischen April und Mai und werden stark von vielen Insekten angeflogen.",gelb,humos,,April bis Mai
Bis ca. 40-50cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Thymianblüten-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/IMG_1920.jpg']",Magerzone,mehrjährig,Thymus vulgaris,Südeuropa,Lamiaceae - Lippenblütengewächse,Sonne,trocken,Schmetterlinge Mehr als 5 Raupenarten,Echter Thymian,"Die Thymian-Familie ist groß, als Würzkraut ist der Echte Thymian weit verbreitet. Der Echte Thymian gehört zu den Halbsträuchern, lässt man ihn wachsen, wird er bis zu 40 - 50 cm hoch und verholzt von unten. Kleine weiße bis blasslila Blüten zeigen sich ab Ende Mai bis in den Oktober hinein. Ab April kann man ihn aussäen, bei stärkeren Nachtfrösten kann man die Jungpflanzen ein wenig abdecken. Er mag magere, trockene Böden. Steht er etwas nährstoffreicher in der Ertragszone, wird die Pflanze größer. Zu nährstoffreich sollte es aber genausowenig sein wie zu nass. Will man das Kraut nicht zwingend in der Küche verwenden, eignet sich Thymian gut zur Fugenbepflanzung in Wegen, da er bedingt trittfest ist.  Ursprünglich stammt der Echte Thymian aus dem südlichen und westlichen Mittelmeerraum, hat sich aber hier schon lange etabliert und ist in vielen Teilen Deutschlands verwildert.  In der Küche findet Thymian in allen mediterranen Gerichten Verwendung, doch auch Kartoffeln und Fleisch (vor allem Lamm) gibt er eine kräftige Note. Flammkuchen mit Ziegenkäse und Äpfeln schmeckt mit Thymian hervorragend. Roh verwendet man Thymian in Salaten und in Kräutermischungen für Quark, Kräuterbutter, Dips oder Frischkäse. Thymiansalz und Thymianöl sind weitere Möglichkeiten. Er kann auch gut als getrocknetes Kraut verwendet werden.  Thymian wird in der Heilkunde nicht nur bei Magen- und Darmbeschwerden als hilfreich angesehen, im Handel finden sich viele Medikamente gegen Husten, die Thymian enthalten. In der Küche verwendet soll es verdauungsfördernde Eigenschafen haben.",weiß,mager,"essbar, Gewürzkraut, Heilkraut",Mai bis Oktober
Bis ca. 8m,['https://hortus-netzwerk.de/wp-content/uploads/2021/06/Weissdorn_e-225x300.jpg'],Pufferzone,Gehölz,Crataegus monogyna,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten, Schatten",frisch - feucht,"Bienen, Schmetterlinge, Vögel, mehr als 20 Raupenarten Vogelschutzgehölz",Eingriffeliger Weißdorn,"Für sehr hohe Hecken eignet sich der Eingriffelige Weißdorn sehr gut, erreicht er doch bei optimalen Bedingungen eine Höhe von bis zu 8m und eine Breite von bis zu 5m. Allerdings kann das Gehölz durch regelmäßige Schnitte auch kleiner gehalten werden. Der Eingriffelige Weißdorn bevorzugt einen humosen, frischen bis feuchten Boden. Er kann sonnig, halbschattig oder schattig stehen, wobei er im Schatten weniger stark wächst. Das Gehölz kommt mit Hitze und Trockheit zurecht - in Zeiten des Klimawandels ein wichtiger Aspekt.  Seinen Namen verdankt er folgendem Umstand: Im Mai erscheinen weiße Blüten mit nur einem Griffel, aus denen sich ab September rote Beeren bilden, die - entsprechend der Griffelzahl - jeweils nur einen Samen ausbilden. Die Blüten werden gut von Insekten angeflogen und die Beeren als Winterfutter von Vögeln angenommen.",weiß,humos,,Mai bis Juni
Ca. 10-20cm,,"Magerzone, Pufferzone",mehrjährig,Primula veris,heimisch,Primulaceae - Primelgewächse,"Sonne, Halbschatten",trocken - frisch - feucht,"Schmetterlinge, Fledermäuse, Insekten mit langem Rüssel, Raupenfutter Frühblüher",Wiesen-Schlüsselblume,,gelb,"mager - humos, kalkhaltig",Heilpflanze,April bis Juni
Bis ca. 6m,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Kornelkirschenblüte-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/IMG_9222-300x225.jpg']",Pufferzone,Gehölz,Cornus mas,heimisch,Cornaceae - Hartriegelgewächse,"Sonne, Halbschatten",frisch - feucht,"Insekten,Vögel, Vogelschutzgehölz",Kornelkirsche,"Die Kornelkirsche ist ein heimischer Großstrauch, der eine Höhe von ca. 6m erreicht und starken Rückschnitt verträgt. Das Gehölz eignet sich hervorragend für eine gemischte Hecke, pro Meter pflanzt man eine bis Pflanzen. An Boden und Standort stellt die Kornelkirsche keine besonderen Ansprüche, nur zu mager sollte es nicht sein. Zwischen März und April erscheinen die gelben Blüten, die von vielen Insekten gut angeflogen werden. Die Früchte, die im Herbst ausgebildet werden, haben auf Grund des hohen Vitamingehaltes einen sauer-herben Geschmack und werden von vielen Vogelarten als Winternahrung genutzt.",gelb,humos,Früchte essbar,März bis April
Bis ca. 6m,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Haselnuss-Corylus-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/IMG_5620-300x225.jpg']",Pufferzone,Gehölz,Corylus avellana,heimisch,Betulaceae - Birkengewächse,"Halbschatten, Schatten",feucht,"Bienen, sehr viele verschiedene Insekten, Kleintiere (Nüsse dienen als Nahrung) Frühblüher","Gemeine Hasel, Haselnuss",,gelb,humos,Nüsse sind essbar,Februar bis April
ca. 10 - 40 cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Taubnessel-Lamium-ist-ein-wertvoller-heimischer-Frühblüher-300x225.jpg'],Magerzone,einjährig,Lamium purpureum,heimisch,Lamiaceae - Lippenblütengewächse,"Sonne, Halbschatten",trocken - frisch,Bienen,Rote Taubnessel,"Die Rote Taubnessel ist eine heimische, einjährige Pflanze und erreicht je nach Standort eine Höhe von ca. 10 - 40 cm. Der Boden sollte mager und trocken bis frisch sein, der Standort sonnig bis halbschattig. Am richtigen Standort breitet sich die Rote Taubnessel flächendeckend durch Selbstaussaat aus. Die violetten Blüten sind zwischen Ende März bis September eine gute Nahrungsquelle für viele Bienen und andere Inskten.",violett,mager,,März bis September
ca. 20 - 70 cm,,Pufferzone,mehrjährig,Lamium maculatum,heimisch,Lamiaceae - Lippenblütengewächse,"Halbschatten, Schatten",feucht,Insekten mit langem Rüssel,Gefleckte Taubnessel,"Die heimische Gefleckte Taubnessel zählt zu den Stauden, sehr selten entwickelt sie sich auch als einjährige Pflanze. Sie bevorzugt einen humosen, feuchten Boden in halbschattiger bis schattiger Lage. Je nach Standort wird sie 20 - 70 cm hoch. Diese Nesselart bildet Ausläufer und wuchert, sie ist also für ein strukturiertes Staudenbeet weniger geeignet. Aber sie bildet schöne, dichte Bestände in sog. ""Wilden Ecken"" oder am Rand von Pufferzonen.  Zwischen April und September zeigen sich die violetten Blüten, die hauptsächlich von Insekten mit langem Rüssel wie Hummeln und Schmetterlingen angeflogen werden.",violett,humos,essbar,April bis September
ca. 20 - 60 cm,,Pufferzone,mehrjährig,Lamium album,heimisch,Lamiaceae - Lippenblütengewächse,"Halbschatten, Schatten",feucht,Überwiegend Insekten mit langem Rüssel Bienen,Weiße Taubnessel,"Die Weiße Taubnessel ist eine heimische Staude, die eine Höhe von ca. 20 - 60 cm erreicht. Am besten entwickelt sie sich in humosem, feuchtem Boden in halbschattiger bis schattiger Lage. Diese Nesselart ist ausbreitungsfreudig und kann gut zum Begrünen von Flächen entlang von Pufferzonen oder lichten Hausschattenarealen verwendet werden. Zwischen Mai und Oktober werden die weißen Blüten der Weißen Taubnessel vorwiegend von Insekten mit langem Rüssel (Hummeln, Schmetterlinge...) sehr gut angeflogen.",weiß,humos,"essbar, Heilpflanze",Mai bis Oktober
ca. 15 - 40 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/goldnessel01-225x300.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/goldnessel02-169x300.jpg']",Pufferzone,mehrjährig,Galeobdolon luteum,heimisch,Lamiaceae - Lippenblütengewächse,"Halbschatten, Schatten",frisch - feucht,"Hummeln, Schmetterlinge, Bienen",Goldnessel ,"Die Goldnessel ist eine heimische Staude, die eine Höhe von ca. 15 - 40 cm erreicht. Sie bevorzugt humosen, frischen bis feuchten Boden, der Standort sollte halbschattig bis schattig sein. Die Goldnessel ist extrem ausbreitungsfreudig und kann durch ihre bis zu 1m langen Ausläufer große Areale überwuchern. Man sollte daher darauf achten, dass die Pflanzennachbarn konkurrenzstark sind. Die gelben Blüten der Goldnessel bieten zwischen April und Juli Hummeln, Schmetterlingen und anderen Insekten ein reiches Nahrungsangebot.",gelb,humos,,April bis Juli
Bis ca. 4m,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Schlehen-Blueten-Glueck-300x225.jpg'],Pufferzone,Gehölz,Prunus spinosa,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch - feucht,"Bienen, Schmetterlinge, Vögel, Kleintiere Vogelschutzgehölz Mehr als 30 Raupenarten",Schlehe,"Die heimische Schlehe bildet im Laufe der Jahre dichte Gebüsche von bis zu 4m Höhe. Das Gehölz kann sehr gut in gemischte Hecken integriert werden und ist auf Grund der bedornten Zweige ein gutes Vogelschutzgehölz. Sonnige bis halbschattige Standorte auf frischen bis feuchten Böden sind der Schlehe am liebsten. Die weißen Blüten werden von zahlreichen Insekten angeflogen, die Beeren, die nach dem ersten Frost auch für Menschen genießbar sind, dienen Vögeln und Kleintieren als Winternahrung. Damit nicht genug, das Gehölz ist eine begehrte Raupenfutterpflanze für viele Schmetterlingsarten.",weiß,mager - humos,Früchte essbar,April bis Mai
Bis ca. 20m,,Pufferzone,Gehölz,Prunus avium,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch - feucht,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Kleintiere",Vogelkirsche,,weiß,humos,Früchte essbar,April bis Mai
Bis ca. 200cm,,Pufferzone,Gehölz,Rosa villosa,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Apfelrose,,rosa,humos,,Juni bis Juli
Bis ca. 200cm,,Pufferzone,Gehölz,Rosa tomentosa,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Filzrose,Die Filzrose erreicht eine Höhe von bis zu 200 cm.. Sie mag es wie die meisten Wildrosen sonnig bis halbschattig. Der Boden sollte locker - also nicht zu lehmhaltig - sein. Ihre duftenden hellrosafarbenen Blüten sind ab Juni eine wichtige Nahrungsquelle für zahlreiche Insekten. Die stacheligen Triebe machen sie zu einem guten Schutzgehölz für Vögel. Die Filzrose bildet keine Ausläufer und für eine Heckenpflanzung benötigt man zwei Pflanzen pro Meter.,rosa,humos,,Juni bis Juli
Bis ca. 300cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Rosa-rubiginosa-300x203.png'],Pufferzone,Gehölz,Rosa rubiginosa,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Weinrose,"Die Weinrose, auch Schottische Weinrose ist eine sehr dicht wachsende, hohe Wildrose. Sie kann bis zu 300 cm hoch werden und ihre Zweige sind mit vielen hakenförmigen Stacheln besetzt. Sie eignet sich hervorragend für mittelhohe Hecken und zaunlose Abgrenzungen, da sie mit der Zeit eine nahezu undurchdringliche Barriere bildet. Ihr Laub riecht leicht nach Äpfeln und die kräftig dunkelrosafarbenen, stark duftenden Blüten sind ab Juni eine wichtige Nahrungsquelle für Insekten. An sonnigen bis halbschattigen Lagen in humosen Böden fühlt sie sich wohl und für eine Heckenpflanzung rechnet man zwei Gehölze pro Meter.",rosa,humos,,Juni bis Juli
Bis ca. 200cm,,Pufferzone,Gehölz,Rosa pimpinellifolia,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Bibernellrose,"Die Bibernellrose wächst aufrecht und erreicht eine Höhe von ca. 150 - 200 cm. Sie ist stark bestachelt und ihre cremefarbenen Blüten bieten Insekten je nach Region schon ab Ende April Nahrung. An den Boden stellt sie keine besonderen Anspruche, sie kommt auch auf sandigen Böden zurecht, sollte aber vollsonnig stehen. Die Bibernellrose bildet viele Ausläufer und findet daher nicht nur als lockere Hecke Verwendung, sondern eignet sich auch als Bodendecker oder zur Hangbefestigung. Für eine Hecke rechnet man eine Pflanze pro Meter, da sie sich im Laufe der Zeit stark ausbreitet.",weiß,humos,,Mai bis Juni
Ca. 150cm,,Pufferzone,Gehölz,Rosa majalis,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Zimt-Rose,"Ihren Namen verdankt diese Rose den zimtfarbenen Zweigen, an denen sich schon im Mai die rosa- bis pinkfarbenen Blüten bilden. Auch sie besitzt Stacheln und da sie gut mit Halbschatten zurechtkommt, kann man sie gut als Schutzgehölz an Bäume pflanzen, um Vögel vor Räubern und Katzen zu schützen. Der Platz sollte allerdings nicht zu schattig sein. Sie wird ungefähr 150 cm hoch und mag es gerne etwas feucht. Sie bildet recht viele Ausläufer und kann daher auch für die Bepflanzung von Böschungen verwendet werden.",rosa,humos,,Mai bis Juni
Bis ca. 300cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Rosa-glauca-225x300.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Rosa-glauca-Blüte-300x225.jpg']",Pufferzone,Gehölz,Rosa glauca,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Rotblättrige Rose,"Es muss nicht immer reingrün sein. Die Rosa glauca hat dunkelgrüne Blätter mit einem Stich ins Blaue und Rote. Sie wird 200 - 300 cm hoch und besitzt kleine gerade Stacheln. Ihre pinkfarbenen kleinen Blüten werden ab Juni gern von Bienen und Hummeln besucht. Sie mag es sonnig und eher trocken, daher ist sie in sandigen Böden besser aufgehoben als in lehmigen. Da sie nicht ganz so konkurrenzstark ist, sollte man sie in Hecken nicht einzeln pflanzen. Pro Meter rechnet man drei bis vier Pflanzen.",rosa,humos,,Juni bis Juli
